,displacement_left
0,6.746014934159851e-06
1,6.637917033955261e-06
2,6.766905869126007e-06
3,1.4824992574793134e-05
4,1.4824992574793134e-05
5,9.529203105272617e-06
6,6.746014934159851e-06
7,6.746014934159851e-06
8,6.647655897128039e-06
9,6.647655897128039e-06
10,0.0
11,6.746014934159851e-06
12,4.700602563853979e-06
13,4.700602563853979e-06
14,4.617287753825169e-06
15,4.617287753825169e-06
16,4.617287753825169e-06
17,6.738164135042173e-06
18,9.540305811860303e-06
19,9.540305811860303e-06
20,6.637917033955261e-06
21,6.755597965306663e-06
22,6.8635561924485295e-06
23,1.0324569289230392e-05
24,1.0324569289230392e-05
25,0.0
26,0.0
27,6.854124103775096e-06
28,6.854124103775096e-06
29,6.746014934159851e-06
30,9.401205127707958e-06
31,9.401205127707958e-06
32,4.770152905930152e-06
33,4.770152905930152e-06
34,9.234575507650338e-06
35,1.0340222287286132e-05
36,1.0324569289230392e-05
37,1.0324569289230392e-05
38,1.0324569289230392e-05
39,4.693716147663459e-06
40,4.611552386242005e-06
41,4.611552386242005e-06
42,9.376148566286085e-06
43,9.376148566286085e-06
44,6.637917033955261e-06
45,1.3851863261475506e-05
46,1.3851863261475506e-05
47,9.367362935554904e-06
48,9.367362935554904e-06
49,1.3605108401689146e-05
50,1.0495468373263936e-05
51,1.0495468373263936e-05
52,9.060989867134969e-06
53,9.060989867134969e-06
54,1.0311744617438489e-05
55,1.0311744617438489e-05
56,1.3834657158726013e-05
57,6.637917033955261e-06
58,6.637917033955261e-06
59,6.637917033955261e-06
60,6.637917033955261e-06
61,9.070072267792764e-06
62,6.659147099995438e-06
63,6.659147099995438e-06
64,4.611552386242005e-06
65,4.611552386242005e-06
66,1.0340222287286132e-05
67,6.637917033955261e-06
68,6.637917033955261e-06
69,9.070072267792764e-06
70,9.070072267792764e-06
71,9.817387046877414e-06
72,4.601977556091701e-06
73,4.601977556091701e-06
74,1.503573369415326e-05
75,1.503573369415326e-05
76,1.4740450986587838e-05
77,1.4740450986587838e-05
78,0.0
79,4.450604236608288e-06
80,4.450604236608288e-06
81,0.0
82,0.0
83,9.357312114060226e-06
84,9.357312114060226e-06
85,9.51437934243916e-06
86,6.510889497392543e-06
87,6.510889497392543e-06
88,1.4501518228544828e-05
89,1.4501518228544828e-05
90,6.629938232633416e-06
91,4.60389411516254e-06
92,4.60389411516254e-06
93,6.846397275123002e-06
94,6.846397275123002e-06
95,0.0
96,4.680541218367923e-06
