,displacement_right
0,1.0644308235559301e-05
1,1.9311313408394393e-05
2,1.9311313408394393e-05
3,9.529203105272617e-06
4,9.529203105272617e-06
5,1.404162365510377e-05
6,1.455071002659993e-05
7,1.455071002659993e-05
8,1.4568887060578485e-05
9,1.4568887060578485e-05
10,6.755597965306663e-06
11,1.0681538263384109e-05
12,1.0681538263384109e-05
13,4.611552386242005e-06
14,4.611552386242005e-06
15,1.5285942377550615e-05
16,1.5285942377550615e-05
17,1.0473030146906372e-05
18,1.3238569740524415e-05
19,1.3238569740524415e-05
20,6.629938232633416e-06
21,6.629938232633416e-06
22,6.846397275123002e-06
23,9.682267879873152e-06
24,9.682267879873152e-06
25,6.854124103775096e-06
26,1.0825104577879568e-05
27,1.0825104577879568e-05
28,1.5084547970010196e-05
29,1.0815592778886562e-05
30,1.0815592778886562e-05
31,1.7199030894134713e-05
32,1.5084547970010196e-05
33,1.5084547970010196e-05
34,1.3476328270084346e-05
35,6.854124103775096e-06
36,1.0666386160727978e-05
37,1.0653972957395828e-05
38,1.0653972957395828e-05
39,1.08373217666948e-05
40,6.9622440178294874e-06
41,6.9622440178294874e-06
42,1.0666386160727978e-05
43,1.0666386160727978e-05
44,1.5084547970010196e-05
45,1.3692794550246003e-05
46,1.3692794550246003e-05
47,1.7179015205185546e-05
48,1.7179015205185546e-05
49,1.346410325650219e-05
50,1.346410325650219e-05
51,6.746014934159851e-06
52,1.4824992574793134e-05
53,1.4824992574793134e-05
54,1.346410325650219e-05
55,6.846397275123002e-06
56,6.846397275123002e-06
57,6.846397275123002e-06
58,1.5066993049505375e-05
59,1.5066993049505375e-05
60,1.0653972957395828e-05
61,1.0473030146906372e-05
62,1.048285278067644e-05
63,1.048285278067644e-05
64,9.540305811860303e-06
65,1.0653972957395828e-05
66,1.4601145914490368e-05
67,1.0666386160727978e-05
68,1.0666386160727978e-05
69,1.4568887060578485e-05
70,1.4568887060578485e-05
71,1.6903092211056323e-05
72,1.6903092211056323e-05
73,1.0666386160727978e-05
74,1.0666386160727978e-05
75,1.08373217666948e-05
76,6.738164135042173e-06
77,6.738164135042173e-06
78,1.8698432996047538e-05
79,1.8698432996047538e-05
80,1.0852235208345163e-05
81,1.0852235208345163e-05
82,1.7179015205185546e-05
83,6.746014934159851e-06
84,6.746014934159851e-06
85,1.4801170932342173e-05
86,6.732051628251095e-06
87,6.732051628251095e-06
88,1.5285942377550615e-05
89,1.3575898230436517e-05
90,1.3575898230436517e-05
91,4.833839409514943e-06
92,4.833839409514943e-06
93,4.75718967121958e-06
94,4.987142505356732e-06
95,4.987142505356732e-06
96,1.0290334646349394e-05
97,1.0290334646349394e-05
98,1.0118877099625052e-05
99,6.399739799626742e-06
100,6.399739799626742e-06
101,9.43305571627582e-06
102,1.4326682917926483e-05
103,1.4326682917926483e-05
104,4.75718967121958e-06
105,4.75718967121958e-06
106,0.0
107,0.0
108,1.3318294199990877e-05
109,1.0358690789978238e-05
110,1.0358690789978238e-05
111,6.637917033955261e-06
112,6.637917033955261e-06
113,9.317000404317917e-06
114,4.388057129232876e-06
115,4.388057129232876e-06
116,6.097617549144258e-06
117,6.097617549144258e-06
118,4.4141151014157046e-06
119,9.317000404317917e-06
120,9.317000404317917e-06
121,6.313696737872553e-06
122,6.313696737872553e-06
123,6.216066048214958e-06
124,4.328004004465355e-06
125,4.328004004465355e-06
126,6.305307678193304e-06
127,6.305307678193304e-06
128,6.313696737872553e-06
129,4.556383686781385e-06
130,4.556383686781385e-06
