,Dot Number,Dot Number,Metric1,Metric1,Metric2,Metric2,Metric3,Metric3,Metric4,Metric4
,mean,std,mean,std,mean,std,mean,std,mean,std
Position,,,,,,,,,,
bottom center,7.0,0.0,1.089102564102564,0.06010404207060857,1.0794871794871794,0.07225783773334883,0.0008072649572649572,0.000538945280462924,-4.1952991452991455,2.1898313857717118
bottom left,6.0,0.0,1.0765800865800865,0.060447543496614305,0.9952813852813852,0.08700716387188574,0.0007683982683982683,0.0006753398737231996,-5.403160173160174,3.1231640819733864
bottom right,8.0,0.0,1.1427433628318584,0.22336914255250445,0.94429203539823,0.13548163837318752,0.0014212389380530972,0.0016703400227330236,-5.50150442477876,2.426257189349311
center,4.0,0.0,1.0670175438596492,0.04583882556024492,1.0560964912280704,0.058559276688776724,0.0006048245614035088,0.000392802497045053,-4.409824561403509,2.2677485904584396
middle left,3.0,0.0,1.0964473684210527,0.06900240589628745,1.0100438596491228,0.10978753131669629,0.000918421052631579,0.0006883634156299572,-5.621929824561403,4.905747483708097
middle right,5.0,0.0,1.1344933920704847,0.21732908797090622,0.979647577092511,0.14104495935077876,0.0013242290748898676,0.0015638005951126904,-7.147312775330397,3.010330929381948
top center,1.0,0.0,1.0601287553648069,0.046055445283424944,1.005708154506438,0.07249578330503452,0.0005793991416309013,0.0004253858080483118,-5.180557939914163,3.319170951917197
top left,0.0,0.0,1.2327450980392156,0.13440367739768103,0.8275490196078431,0.10203772387029311,0.002014705882352941,0.0011743059628348414,-3.059607843137255,2.8884108237636026
top right,2.0,0.0,1.0795045045045046,0.06957028723884533,0.9518468468468468,0.07697748371480083,0.0008621621621621621,0.0007558584528427034,-8.264144144144145,3.385270722037071
