,displacement_left
0,3.569581939023551e-05
1,3.95134282711076e-05
2,4.043280554202111e-05
3,3.95134282711076e-05
4,3.95134282711076e-05
5,4.4093810030067896e-05
6,4.48931586743372e-05
7,4.4093810030067896e-05
8,4.48931586743372e-05
9,4.0153661808200927e-05
10,4.48931586743372e-05
11,4.48931586743372e-05
12,4.041499130350322e-05
13,4.041499130350322e-05
14,3.9242061062419764e-05
15,3.217701785333593e-05
16,3.217701785333593e-05
17,3.217701785333593e-05
18,3.217701785333593e-05
19,3.217701785333593e-05
20,3.217701785333593e-05
21,3.217701785333593e-05
22,3.217701785333593e-05
23,3.217701785333593e-05
24,3.217701785333593e-05
25,3.217701785333593e-05
26,3.217701785333593e-05
27,3.217701785333593e-05
28,3.217701785333593e-05
29,3.217701785333593e-05
30,3.217701785333593e-05
31,3.217701785333593e-05
32,3.217701785333593e-05
33,3.217701785333593e-05
34,4.983034043105638e-05
35,4.525358403508606e-05
36,4.525358403508606e-05
37,4.525358403508606e-05
38,4.525358403508606e-05
39,4.525358403508606e-05
40,4.525358403508606e-05
41,4.525358403508606e-05
42,4.525358403508606e-05
43,4.525358403508606e-05
44,4.525358403508606e-05
45,4.525358403508606e-05
46,4.525358403508606e-05
47,4.525358403508606e-05
48,4.525358403508606e-05
49,4.525358403508606e-05
50,4.525358403508606e-05
51,4.525358403508606e-05
52,4.525358403508606e-05
53,4.525358403508606e-05
54,4.525358403508606e-05
55,4.525358403508606e-05
56,4.525358403508606e-05
57,4.525358403508606e-05
58,4.525358403508606e-05
59,4.525358403508606e-05
60,4.525358403508606e-05
61,4.525358403508606e-05
62,4.525358403508606e-05
63,4.525358403508606e-05
64,4.525358403508606e-05
65,4.525358403508606e-05
66,4.525358403508606e-05
67,4.525358403508606e-05
68,4.525358403508606e-05
69,4.525358403508606e-05
70,4.525358403508606e-05
71,4.525358403508606e-05
72,4.525358403508606e-05
73,4.525358403508606e-05
74,4.525358403508606e-05
75,4.525358403508606e-05
76,4.525358403508606e-05
77,4.525358403508606e-05
78,4.525358403508606e-05
79,4.525358403508606e-05
80,4.525358403508606e-05
81,5.4151165455494e-05
82,3.414018300853096e-05
83,3.877342637656304e-05
84,3.877342637656304e-05
85,3.412888128368167e-05
86,3.2588757913784135e-05
87,3.596448481250352e-05
88,3.7805589709950523e-05
89,3.75751240463614e-05
90,5.05215340582804e-05
91,4.405842220670664e-05
92,4.407763561093143e-05
93,3.3438662235619614e-05
94,3.9271863277508856e-05
95,3.92889893148479e-05
96,3.92889893148479e-05
97,3.92889893148479e-05
98,3.92889893148479e-05
99,3.92889893148479e-05
100,3.92889893148479e-05
101,3.92889893148479e-05
102,3.3251405743018235e-05
103,3.238450774153004e-05
104,3.976354554971868e-05
105,3.6224351224356325e-05
106,4.801852693582328e-05
107,4.666562010401982e-05
108,4.6373528073751954e-05
109,4.6373528073751954e-05
110,4.581576191357197e-05
111,4.581576191357197e-05
112,4.581576191357197e-05
113,4.581576191357197e-05
114,4.581576191357197e-05
115,4.692119354069682e-05
116,4.692119354069682e-05
117,4.692119354069682e-05
118,4.692119354069682e-05
119,4.664632672860622e-05
120,4.664632672860622e-05
121,5.284462584579819e-05
122,5.1597024414463805e-05
123,4.664632672860622e-05
124,4.666562010401982e-05
125,4.664632672860622e-05
126,4.60857345631646e-05
127,4.664632672860622e-05
128,4.664632672860622e-05
129,4.664632672860622e-05
130,4.5798610058848284e-05
131,4.693854757372594e-05
132,4.5798610058848284e-05
133,4.5798610058848284e-05
134,4.5511491322028965e-05
135,4.55287513419135e-05
136,4.55287513419135e-05
137,4.5511491322028965e-05
138,4.5798610058848284e-05
139,4.053549602553964e-05
140,4.5511491322028965e-05
141,4.5511491322028965e-05
142,4.5783258215863905e-05
143,4.5798610058848284e-05
144,4.104656912531118e-05
145,4.5511491322028965e-05
146,4.077575864257516e-05
147,4.077575864257516e-05
148,4.104656912531118e-05
149,4.6102779597602755e-05
150,3.242680438295185e-05
151,3.056238582688794e-05
152,3.4948992417467335e-05
153,3.517994800091122e-05
154,3.0763030010156005e-05
155,3.056238582688794e-05
156,3.056238582688794e-05
157,3.056238582688794e-05
158,3.056238582688794e-05
159,3.056238582688794e-05
160,3.056238582688794e-05
161,3.241630540114813e-05
162,3.241630540114813e-05
163,2.602293382552938e-05
164,3.056238582688794e-05
165,2.619377619147677e-05
166,3.8959550428313284e-05
167,3.9227858512790496e-05
168,3.8959550428313284e-05
169,3.8959550428313284e-05
170,4.3772849698871173e-05
171,4.406003604296159e-05
172,3.9227858512790496e-05
173,3.9227858512790496e-05
174,3.9227858512790496e-05
175,3.9227858512790496e-05
176,4.375867715361948e-05
177,4.375867715361948e-05
178,3.8959550428313284e-05
179,4.375867715361948e-05
180,4.3772849698871173e-05
181,4.3772849698871173e-05
182,3.9215322579756475e-05
183,4.375867715361948e-05
184,4.375867715361948e-05
185,4.375867715361948e-05
186,3.9215322579756475e-05
187,3.9215322579756475e-05
188,4.4551950387071336e-05
189,3.920445486205907e-05
190,3.920445486205907e-05
191,4.374639056706432e-05
192,4.011008384670606e-05
193,4.011008384670606e-05
194,4.4551950387071336e-05
195,4.4551950387071336e-05
196,4.48444370322255e-05
197,4.456637985738406e-05
198,4.375867715361948e-05
199,4.404595590496143e-05
200,4.012290580740952e-05
201,4.374639056706432e-05
202,4.374639056706432e-05
203,4.012290580740952e-05
204,3.9215322579756475e-05
205,3.438458152932936e-05
206,3.438458152932936e-05
207,3.5170070154864784e-05
208,3.0754504670985656e-05
209,3.0754504670985656e-05
210,3.055380450260621e-05
211,3.0763030010156005e-05
212,3.0763030010156005e-05
213,3.0763030010156005e-05
214,3.0763030010156005e-05
215,3.0763030010156005e-05
216,3.0763030010156005e-05
217,3.0963676932863444e-05
218,3.0963676932863444e-05
219,3.0963676932863444e-05
220,3.0763030010156005e-05
221,3.0763030010156005e-05
222,2.8177127485193136e-05
223,2.1746718804887307e-05
224,2.1746718804887307e-05
225,2.1746718804887307e-05
226,2.175274713002658e-05
227,2.175274713002658e-05
228,2.4161687485453604e-05
229,2.063646788897246e-05
230,2.063646788897246e-05
231,2.416951296445615e-05
232,2.4328085095684956e-05
233,2.064306473333065e-05
234,2.416951296445615e-05
235,2.1759700814540415e-05
236,2.1759700814540415e-05
237,2.1759700814540415e-05
238,2.1759700814540415e-05
239,2.1617869588634566e-05
240,2.1759700814540415e-05
241,2.416951296445615e-05
242,2.416951296445615e-05
243,2.4336893143053736e-05
244,3.057228436185988e-05
245,3.0784005401673536e-05
246,3.0784005401673536e-05
247,3.266457089680694e-05
248,3.521867279702703e-05
249,2.62116360937932e-05
250,3.0583498828552414e-05
251,2.6222234655304465e-05
252,3.0796452780907915e-05
253,3.0796452780907915e-05
254,2.482889400529852e-05
255,2.482889400529852e-05
256,3.099688335435792e-05
257,3.099688335435792e-05
258,3.5465208784939004e-05
259,3.5465208784939004e-05
260,3.5465208784939004e-05
261,3.0810204559948934e-05
262,3.101054625160412e-05
263,3.101054625160412e-05
264,3.2695124498713454e-05
265,3.523460593072528e-05
266,3.523460593072528e-05
267,3.082525899303827e-05
268,3.082525899303827e-05
269,3.7118527158043806e-05
270,3.2695124498713454e-05
271,3.2695124498713454e-05
272,3.7118527158043806e-05
273,3.7118527158043806e-05
274,3.5465208784939004e-05
275,3.571303644560273e-05
276,3.7118527158043806e-05
277,3.0810204559948934e-05
278,3.548253773878004e-05
279,3.5465208784939004e-05
280,3.101054625160412e-05
281,3.267915686112687e-05
282,2.963230588646377e-05
283,3.0810204559948934e-05
284,3.0810204559948934e-05
285,3.0810204559948934e-05
286,3.0810204559948934e-05
287,3.1025503473511385e-05
288,3.290751584377003e-05
289,3.101054625160412e-05
290,3.1025503473511385e-05
291,3.571303644560273e-05
292,4.0191220513681935e-05
293,3.5465208784939004e-05
294,3.7341642562870385e-05
295,3.7341642562870385e-05
296,3.569581939023551e-05
297,3.569581939023551e-05
298,3.7341642562870385e-05
299,3.735965344309362e-05
300,3.217701785333593e-05
301,3.217701785333593e-05
302,3.217701785333593e-05
303,3.217701785333593e-05
304,3.217701785333593e-05
305,3.217701785333593e-05
306,3.217701785333593e-05
307,3.217701785333593e-05
308,3.217701785333593e-05
309,3.217701785333593e-05
310,3.217701785333593e-05
311,3.217701785333593e-05
312,3.217701785333593e-05
313,3.217701785333593e-05
314,3.217701785333593e-05
315,3.702770338406804e-05
316,3.216761312660666e-05
317,3.216761312660666e-05
318,3.216761312660666e-05
319,3.216761312660666e-05
320,3.216761312660666e-05
321,3.216761312660666e-05
322,3.216761312660666e-05
323,3.216761312660666e-05
324,3.217701785333593e-05
325,3.217701785333593e-05
326,3.217701785333593e-05
327,3.217701785333593e-05
328,4.6373528073751954e-05
329,4.6373528073751954e-05
330,4.6373528073751954e-05
331,4.666562010401982e-05
332,4.6373528073751954e-05
333,4.6373528073751954e-05
334,4.666562010401982e-05
335,4.666562010401982e-05
336,4.666562010401982e-05
337,4.5547820596480404e-05
338,4.666562010401982e-05
339,4.666562010401982e-05
340,4.581576191357197e-05
341,4.6102779597602755e-05
342,4.6102779597602755e-05
343,4.581576191357197e-05
344,4.693854757372594e-05
345,4.693854757372594e-05
346,4.693854757372594e-05
347,4.693854757372594e-05
348,5.1597024414463805e-05
349,4.664632672860622e-05
350,4.664632672860622e-05
351,4.581576191357197e-05
352,4.60857345631646e-05
353,4.664632672860622e-05
354,4.664632672860622e-05
355,4.664632672860622e-05
356,4.664632672860622e-05
357,5.084739099379635e-05
358,4.079102940925534e-05
359,4.079102940925534e-05
360,4.581576191357197e-05
361,4.581576191357197e-05
362,4.523313096570414e-05
363,4.581576191357197e-05
364,4.581576191357197e-05
365,4.581576191357197e-05
366,4.581576191357197e-05
367,4.5511491322028965e-05
368,4.5511491322028965e-05
369,4.6373528073751954e-05
370,4.6373528073751954e-05
371,4.5547820596480404e-05
372,4.55287513419135e-05
373,5.1295272918860684e-05
374,5.1295272918860684e-05
375,5.1597024414463805e-05
376,5.082835546918696e-05
377,4.198311325598361e-05
378,4.198311325598361e-05
379,4.581576191357197e-05
380,4.172174298633156e-05
381,3.1987136769236985e-05
382,3.1987136769236985e-05
383,3.681995949575965e-05
384,3.1987136769236985e-05
385,3.1987136769236985e-05
386,3.075393076519181e-05
387,3.1987136769236985e-05
388,3.1987136769236985e-05
389,3.199911614420464e-05
390,3.075393076519181e-05
391,2.578020961862313e-05
392,2.578020961862313e-05
393,3.075393076519181e-05
394,3.0560999776146716e-05
395,3.0560999776146716e-05
396,3.0764243039474124e-05
397,3.0764243039474124e-05
398,3.552644061627446e-05
399,3.552644061627446e-05
400,3.0764243039474124e-05
401,3.1987136769236985e-05
402,3.635830391080849e-05
403,3.0378515167676665e-05
404,3.178660434495928e-05
405,2.5618480655340807e-05
406,2.5618480655340807e-05
407,2.7065318332557318e-05
408,2.7065318332557318e-05
409,2.5618480655340807e-05
410,3.351496014114764e-05
411,2.8947305148045835e-05
412,2.689457462117194e-05
413,3.330235435504861e-05
414,3.330235435504861e-05
415,2.689457462117194e-05
416,3.1385551889835425e-05
417,3.1385551889835425e-05
418,2.689457462117194e-05
419,3.139776079190963e-05
420,3.0378515167676665e-05
421,3.0368071909674156e-05
422,3.159820744933646e-05
423,3.137462410828069e-05
424,3.117403394643312e-05
