Dot Number,Position,Metric1,Metric2,Metric3,Metric4
0,top left,1.11,1.11,0.0009,-1.0
0,top left,1.11,1.11,0.0008,-6.07
0,top left,1.15,1.15,0.0011,-2.78
0,top left,1.16,1.16,0.0012,1.33
0,top left,1.19,1.19,0.0016,-3.16
0,top left,1.18,1.18,0.0014,-4.91
0,top left,1.09,1.09,0.0007,-5.53
0,top left,1.15,1.15,0.0012,-6.14
0,top left,1.1,1.1,0.0008,-4.15
0,top left,1.12,1.12,0.0009,0.22
0,top left,1.25,1.25,0.0019,-2.02
0,top left,1.05,0.95,0.0005,-9.28
0,top left,1.11,1.11,0.0009,-5.12
0,top left,1.06,1.06,0.0005,0.87
0,top left,1.12,1.12,0.001,-2.5
0,top left,1.08,1.08,0.0006,-5.14
0,top left,1.14,1.14,0.0011,-4.48
0,top left,1.05,1.05,0.0004,-2.55
0,top left,1.13,1.13,0.0011,-3.0
0,top left,1.2,1.2,0.0016,-7.39
0,top left,1.06,1.06,0.0005,-2.65
0,top left,1.12,1.12,0.001,-3.6
0,top left,1.03,0.97,0.0003,-1.82
0,top left,1.02,0.98,0.0002,-1.8
0,top left,1.19,1.19,0.0015,-1.8
0,top left,1.21,1.21,0.0016,0.54
0,top left,1.12,1.12,0.001,-9.41
0,top left,1.22,1.22,0.0016,-1.58
0,top left,1.18,1.18,0.0014,-5.42
0,top left,1.26,1.26,0.002,0.42
0,top left,1.18,1.18,0.0015,-5.15
0,top left,1.24,1.24,0.0018,-1.64
0,top left,1.14,1.14,0.0011,0.34
0,top left,1.12,1.12,0.001,-8.22
0,top left,1.29,1.29,0.0024,-4.1
0,top left,1.59,1.59,0.0046,1.47
0,top left,1.28,1.28,0.0021,-2.65
0,top left,1.15,1.15,0.0012,0.45
0,top left,1.02,0.98,0.0001,2.93
0,top left,1.47,1.47,0.0037,-13.42
0,top left,1.06,0.94,0.0005,-2.46
0,top left,1.47,1.47,0.0036,-0.95
0,top left,1.08,1.08,0.0007,11.2
0,top left,1.04,1.04,0.0003,6.4
0,top left,1.09,1.09,0.0008,5.53
0,top left,1.26,1.26,0.0022,5.17
0,top left,1.22,1.22,0.0016,4.95
0,top left,1.22,1.22,0.0018,1.25
0,top left,1.41,1.41,0.0034,2.04
0,top left,1.01,0.99,0.0001,-4.82
0,top left,1.64,1.64,0.0056,-4.25
0,top left,2.07,2.07,0.0099,0.42
0,top left,1.16,1.16,0.0014,1.72
0,top left,1.55,1.55,0.0052,1.89
0,top left,1.12,1.12,0.0011,6.96
0,top left,1.33,1.33,0.0031,-0.72
0,top left,1.01,0.99,0.0001,6.59
0,top left,1.07,1.07,0.0006,6.31
0,top left,1.31,1.31,0.0025,0.26
0,top left,1.39,1.39,0.0039,1.1
0,top left,1.6,1.6,0.0055,0.45
0,top left,1.23,1.23,0.0022,2.0
0,top left,1.3,1.3,0.0025,-3.78
0,top left,1.18,1.18,0.0018,-4.43
0,top left,1.11,0.9,0.001,4.28
0,top left,1.18,1.18,0.0017,-1.85
0,top left,1.02,0.98,0.0002,3.11
0,top left,1.18,1.18,0.0017,-1.25
0,top left,1.25,1.25,0.0023,-1.73
0,top left,1.14,1.14,0.0013,1.3
0,top left,1.16,1.16,0.0015,1.5
0,top left,1.07,1.07,0.0007,6.13
0,top left,1.07,1.07,0.0007,1.41
0,top left,1.01,0.99,0.0001,-0.3
0,top left,1.04,0.96,0.0004,-0.17
0,top left,1.13,1.13,0.0011,-2.19
0,top left,1.05,1.05,0.0005,-4.09
0,top left,1.02,1.02,0.0002,-3.69
0,top left,1.02,1.02,0.0002,2.71
0,top left,1.08,1.08,0.0008,-1.26
0,top left,1.12,1.12,0.0011,1.13
