,Dot Number,Dot Number,Metric1,Metric1,Metric2,Metric2,Metric3,Metric3,Metric4,Metric4
,mean,std,mean,std,mean,std,mean,std,mean,std
Position,,,,,,,,,,
bottom center,7.0,0.0,1.1717514124293786,0.14871718626127572,0.9244632768361581,0.15543147443815716,0.0016045197740112993,0.0013039197553147005,-16.48276836158192,14.305124944543245
bottom left,6.0,0.0,1.2756613756613757,0.20857727697021614,0.9687301587301588,0.28329271417521823,0.0021560846560846557,0.0014555204937371522,-30.93846560846561,11.882958532460812
bottom right,8.0,0.0,2.4923655913978493,2.0958439687381634,2.3105913978494623,2.2089149041471563,0.015182258064516129,0.021659426691473468,-3.5277419354838706,9.398225321724713
center,4.0,0.0,1.1980110497237568,0.17056904724253247,0.955414364640884,0.19216737384449137,0.0018320441988950277,0.0016209636085544386,-17.293259668508288,12.382145159865292
middle left,3.0,0.0,1.249757281553398,0.19953223181252247,0.8977669902912622,0.22677777685605646,0.002420873786407767,0.0018943049986459043,-7.099514563106796,7.202528740033348
middle right,5.0,0.0,1.2916080402010053,0.21103981896209523,0.880251256281407,0.22080302750525066,0.002409045226130653,0.0016197389093023313,-22.03748743718593,12.274813324038494
top center,1.0,0.0,1.2575531914893616,0.4047371528917704,0.9956914893617022,0.3640929694576168,0.0028101063829787235,0.009286005455244217,-20.114202127659574,15.450040302513784
top left,0.0,0.0,1.0778,0.07299619472578313,1.0105,0.094413393588457,0.0007050000000000001,0.000670801570864848,0.8442999999999999,2.8899335055787474
top right,2.0,0.0,1.1881720430107527,0.1690286797130394,1.0896236559139785,0.22747347520943917,0.0015236559139784945,0.0011105292480140113,-5.911075268817204,8.601750665604236
